;appearance_time;earliest_landing_time;target_landing_time;latest_landing_time;penality_cost_earliest;penality_cost_latest;separation_times
16;1467;2067;2169;3867;1.85;1.69;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
17;1491;2091;2215;3891;1.89;1.17;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
18;1642;2242;2781;4042;1.30;1.08;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
19;1740;2340;2436;4140;1.67;1.02;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
20;2019;2619;3111;4419;1.02;1.29;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
21;2105;2705;2967;4505;1.26;1.09;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
22;2126;2726;2971;4526;1.70;1.50;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
23;2203;2803;2918;4603;1.08;1.90;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
24;2282;2882;3258;4682;1.58;1.83;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
25;2646;3246;3728;5046;1.08;1.87;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
26;2735;3335;3468;5135;1.14;1.29;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
27;2757;3357;3750;5157;1.20;1.10;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
28;2768;3368;3647;5168;1.55;1.78;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
29;2828;3428;3495;5228;1.20;1.44;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
30;2863;3463;3579;5263;1.27;1.74;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
31;2895;3495;4079;5295;1.97;1.78;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
32;2944;3544;3764;5344;1.38;1.04;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
33;3023;3623;3749;5423;1.66;1.52;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
34;3032;3632;3854;5432;1.88;1.99;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
35;3123;3723;4273;5523;1.56;1.85;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
36;3590;4190;4469;5990;1.20;1.75;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
37;3620;4220;4771;6020;1.94;1.29;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
38;3646;4246;4836;6046;1.99;1.84;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
39;3776;4376;4695;6176;1.30;1.18;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
40;3883;4483;4829;6283;1.67;1.81;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
41;4294;4894;5400;6694;1.30;1.08;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
42;4365;4965;5536;6765;1.20;1.75;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
